Loading parameters

Initial system energy
-42776.47783422754 kJ/mol

Energy minimization: 5000 steps
-42776.913315034064 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
63.2%	79000	79.00000000001316	-33773.54252495372	302.6328580300362	325	0:12
64.0%	80000	80.00000000001793	-34161.3111072116	310.9199605837455	325	0:11
64.8%	81000	81.00000000002271	-33966.557757983275	307.5981036935525	325	0:11
65.6%	82000	82.00000000002748	-34097.22349992723	307.5346840328432	326	0:11
66.4%	83000	83.00000000003226	-34066.275110096816	315.2988019282936	326	0:11
67.2%	84000	84.00000000003703	-34303.89772947028	305.73130101181135	326	0:10
68.0%	85000	85.00000000004181	-34375.87774306914	304.0702375808276	326	0:10
68.8%	86000	86.00000000004658	-34356.018194941105	304.1402241808259	326	0:10
69.6%	87000	87.00000000005136	-34236.939209211414	302.57069567485667	326	0:10
70.4%	88000	88.00000000005613	-34241.20892547615	295.4798515579917	326	0:09
71.2%	89000	89.00000000006091	-34478.42911285232	302.65165254374506	326	0:09
72.0%	90000	90.00000000006568	-34074.71046559281	299.37289914912117	325	0:09
72.8%	91000	91.00000000007046	-34053.59117299084	308.159015572865	325	0:09
73.6%	92000	92.00000000007523	-33930.65896499413	303.15899684740833	325	0:08
74.4%	93000	93.00000000008001	-33862.11396695442	307.9465485063223	325	0:08
75.2%	94000	94.00000000008478	-34185.282367522595	309.42706239160265	325	0:08
76.0%	95000	95.00000000008956	-33787.21730126586	304.14580942208886	325	0:07
76.8%	96000	96.00000000009433	-33855.92794337039	306.7487650570542	325	0:07
77.6%	97000	97.0000000000991	-33966.33762087586	306.02621417043076	325	0:07
78.4%	98000	98.00000000010388	-33961.880295295545	299.97490217811736	325	0:07
79.2%	99000	99.00000000010866	-33960.98051911515	300.256806448587	325	0:06
80.0%	100000	100.00000000011343	-33933.09371137619	305.831378794904	325	0:06
